ID,North Window,South Window,North Blind,Heating SP,Cooling SP
231,0,1,1,20,23
232,0,1,1,20,24
233,0,1,1,20,25
234,0,1,1,20,26
235,0,1,1,20,27
236,0,1,1,20,28
237,0,1,1,21,22
238,0,1,1,21,23
239,0,1,1,21,24
240,0,1,1,21,25
241,0,1,1,21,26
242,0,1,1,21,27
243,0,1,1,21,28
244,0,1,1,22,23
245,0,1,1,22,24
246,0,1,1,22,25
247,0,1,1,22,26
248,0,1,1,22,27
249,0,1,1,22,28
250,0,1,1,23,24
251,0,1,1,23,25
252,0,1,1,23,26
253,0,1,1,23,27
254,0,1,1,23,28
255,0,1,1,24,25
256,0,1,1,24,26
257,0,1,1,24,27
258,0,1,1,24,28
259,0,1,1,25,26
260,0,1,1,25,27
261,0,1,1,25,28
262,0,1,1,26,27
263,0,1,1,26,28
264,0,1,1,27,28
265,1,0,0,17,18
266,1,0,0,17,19
267,1,0,0,17,20
268,1,0,0,17,21
269,1,0,0,17,22
270,1,0,0,17,23
271,1,0,0,17,24
272,1,0,0,17,25
273,1,0,0,17,26
274,1,0,0,17,27
275,1,0,0,17,28
276,1,0,0,18,19
277,1,0,0,18,20
278,1,0,0,18,21
279,1,0,0,18,22
280,1,0,0,18,23
281,1,0,0,18,24
282,1,0,0,18,25
283,1,0,0,18,26
284,1,0,0,18,27
285,1,0,0,18,28
286,1,0,0,19,20
287,1,0,0,19,21
288,1,0,0,19,22
289,1,0,0,19,23
290,1,0,0,19,24
291,1,0,0,19,25
292,1,0,0,19,26
293,1,0,0,19,27
294,1,0,0,19,28
295,1,0,0,20,21
296,1,0,0,20,22
297,1,0,0,20,23
298,1,0,0,20,24
299,1,0,0,20,25
300,1,0,0,20,26
301,1,0,0,20,27
302,1,0,0,20,28
303,1,0,0,21,22
304,1,0,0,21,23
305,1,0,0,21,24
306,1,0,0,21,25
307,1,0,0,21,26
308,1,0,0,21,27
309,1,0,0,21,28
310,1,0,0,22,23
311,1,0,0,22,24
312,1,0,0,22,25
313,1,0,0,22,26
314,1,0,0,22,27
315,1,0,0,22,28
316,1,0,0,23,24
317,1,0,0,23,25
318,1,0,0,23,26
319,1,0,0,23,27
320,1,0,0,23,28
321,1,0,0,24,25
322,1,0,0,24,26
323,1,0,0,24,27
324,1,0,0,24,28
325,1,0,0,25,26
326,1,0,0,25,27
327,1,0,0,25,28
328,1,0,0,26,27
329,1,0,0,26,28
330,1,0,0,27,28
331,1,0,1,17,18
332,1,0,1,17,19
333,1,0,1,17,20
334,1,0,1,17,21
335,1,0,1,17,22
336,1,0,1,17,23
337,1,0,1,17,24
338,1,0,1,17,25
339,1,0,1,17,26
340,1,0,1,17,27
341,1,0,1,17,28
342,1,0,1,18,19
343,1,0,1,18,20
344,1,0,1,18,21
345,1,0,1,18,22
346,1,0,1,18,23
347,1,0,1,18,24
348,1,0,1,18,25
349,1,0,1,18,26
350,1,0,1,18,27
351,1,0,1,18,28
352,1,0,1,19,20
353,1,0,1,19,21
354,1,0,1,19,22
355,1,0,1,19,23
356,1,0,1,19,24
357,1,0,1,19,25
358,1,0,1,19,26
359,1,0,1,19,27
360,1,0,1,19,28
361,1,0,1,20,21
362,1,0,1,20,22
363,1,0,1,20,23
364,1,0,1,20,24
365,1,0,1,20,25
366,1,0,1,20,26
367,1,0,1,20,27
368,1,0,1,20,28
369,1,0,1,21,22
370,1,0,1,21,23
371,1,0,1,21,24
372,1,0,1,21,25
373,1,0,1,21,26
374,1,0,1,21,27
375,1,0,1,21,28
376,1,0,1,22,23
377,1,0,1,22,24
378,1,0,1,22,25
379,1,0,1,22,26
380,1,0,1,22,27
381,1,0,1,22,28
382,1,0,1,23,24
383,1,0,1,23,25
384,1,0,1,23,26
385,1,0,1,23,27
386,1,0,1,23,28
387,1,0,1,24,25
388,1,0,1,24,26
389,1,0,1,24,27
390,1,0,1,24,28
391,1,0,1,25,26
392,1,0,1,25,27
393,1,0,1,25,28
394,1,0,1,26,27
395,1,0,1,26,28
396,1,0,1,27,28
397,1,1,0,17,18
398,1,1,0,17,19
399,1,1,0,17,20
400,1,1,0,17,21
401,1,1,0,17,22
402,1,1,0,17,23
403,1,1,0,17,24
404,1,1,0,17,25
405,1,1,0,17,26
406,1,1,0,17,27
407,1,1,0,17,28
408,1,1,0,18,19
409,1,1,0,18,20
410,1,1,0,18,21
411,1,1,0,18,22
412,1,1,0,18,23
413,1,1,0,18,24
414,1,1,0,18,25
415,1,1,0,18,26
416,1,1,0,18,27
