Date/Time,Heating:DistrictHeating [J](TimeStep),Cooling:DistrictCooling [J](TimeStep),Cooling:EnergyTransfer [J](TimeStep) 
 12/25  00:03:00,0.0,0.0,0.0 
 12/25  00:06:00,0.0,0.0,0.0 
 12/25  00:09:00,1722.6129878865845,90000.0,85891.40593655762 
 12/25  00:12:00,0.0,0.0,0.0 
 12/25  00:15:00,0.0,0.0,0.0 
 12/25  00:18:00,0.0,0.0,0.0 
 12/25  00:21:00,0.0,0.0,0.0 
 12/25  00:24:00,0.0,0.0,0.0 
 12/25  00:27:00,0.0,36717.65212522976,26146.981950359703 
 12/25  00:30:00,0.0,0.0,0.0 
 12/25  00:33:00,0.0,0.0,0.0 
 12/25  00:36:00,0.0,55336.69483160768,39296.28557109704 
 12/25  00:39:00,0.0,0.0,0.0 
 12/25  00:42:00,0.0,0.0,0.0 
 12/25  00:45:00,0.0,0.0,0.0 
 12/25  00:48:00,0.0,8462.468703631806,6158.792480286322 
 12/25  00:51:00,0.0,0.0,0.0 
 12/25  00:54:00,0.0,0.0,0.0 
 12/25  00:57:00,0.0,7774.483798623066,5664.693218038158 
 12/25  01:00:00,0.0,0.0,0.0 
 12/25  01:03:00,0.0,0.0,0.0 
 12/25  01:06:00,0.0,0.0,0.0 
 12/25  01:09:00,0.0,0.0,0.0 
 12/25  01:12:00,0.0,0.0,0.0 
 12/25  01:15:00,0.0,0.0,0.0 
 12/25  01:18:00,0.0,0.0,0.0 
 12/25  01:21:00,0.0,0.0,0.0 
 12/25  01:24:00,0.0,0.0,0.0 
 12/25  01:27:00,0.0,0.0,0.0 
 12/25  01:30:00,0.0,0.0,0.0 
 12/25  01:33:00,0.0,0.0,0.0 
 12/25  01:36:00,0.0,0.0,0.0 
 12/25  01:39:00,0.0,0.0,0.0 
 12/25  01:42:00,0.0,0.0,0.0 
 12/25  01:45:00,0.0,0.0,0.0 
 12/25  01:48:00,0.0,0.0,0.0 
 12/25  01:51:00,0.0,0.0,0.0 
 12/25  01:54:00,0.0,0.0,0.0 
 12/25  01:57:00,0.0,0.0,0.0 
 12/25  02:00:00,0.0,0.0,0.0 
 12/25  02:03:00,0.0,0.0,0.0 
 12/25  02:06:00,0.0,0.0,0.0 
 12/25  02:09:00,0.0,0.0,0.0 
 12/25  02:12:00,0.0,0.0,0.0 
 12/25  02:15:00,0.0,0.0,0.0 
 12/25  02:18:00,0.0,0.0,0.0 
 12/25  02:21:00,0.0,0.0,0.0 
 12/25  02:24:00,0.0,0.0,0.0 
 12/25  02:27:00,0.0,0.0,0.0 
 12/25  02:30:00,0.0,0.0,0.0 
 12/25  02:33:00,0.0,0.0,0.0 
